2014onto_qm37,frc2601,frc4627,frc746,frc1325,frc3550,frc4618,46,11
2014onto_qm38,frc5158,frc5036,frc3386,frc288,frc3387,frc4727,150,17
2014onto_qm39,frc1285,frc4825,frc1241,frc4476,frc1075,frc4252,132,118
2014onto_qm4,frc1114,frc3683,frc4476,frc288,frc3360,frc2198,420,57
2014onto_qm40,frc3173,frc3988,frc2013,frc2994,frc781,frc4783,75,80
2014onto_qm41,frc1246,frc4718,frc4618,frc4248,frc3550,frc216,52,41
2014onto_qm42,frc5036,frc2601,frc1114,frc3985,frc886,frc3161,166,77
2014onto_qm43,frc854,frc5158,frc1285,frc1404,frc1503,frc3683,120,155
2014onto_qm44,frc4252,frc2013,frc4727,frc5051,frc2198,frc1219,189,111
2014onto_qm45,frc288,frc1241,frc3988,frc907,frc3710,frc919,90,176
2014onto_qm46,frc2609,frc4476,frc1547,frc746,frc3386,frc3173,117,92
2014onto_qm47,frc244,frc2994,frc1325,frc4825,frc3387,frc781,106,85
2014onto_qm48,frc3986,frc4627,frc4783,frc5031,frc3360,frc1075,16,91
2014onto_qm49,frc1219,frc886,frc5036,frc4618,frc1285,frc3710,17,35
2014onto_qm5,frc854,frc3985,frc1246,frc1503,frc3988,frc1325,11,43
2014onto_qm50,frc288,frc746,frc4248,frc1241,frc5051,frc2013,18,150
2014onto_qm51,frc1547,frc5158,frc2994,frc4252,frc3985,frc2609,25,31
2014onto_qm52,frc244,frc4718,frc3387,frc3683,frc3988,frc4727,28,78
2014onto_qm53,frc4476,frc1246,frc2198,frc5031,frc2601,frc3986,47,104
2014onto_qm54,frc1503,frc216,frc907,frc3360,frc1325,frc3173,95,95
2014onto_qm55,frc3161,frc4783,frc919,frc1404,frc1075,frc4627,37,25
2014onto_qm56,frc3550,frc781,frc1114,frc3386,frc854,frc4825,205,171
2014onto_qm57,frc2601,frc3988,frc244,frc5031,frc5158,frc288,161,72
2014onto_qm58,frc2609,frc3710,frc1325,frc3683,frc1285,frc2013,113,161
2014onto_qm59,frc4727,frc3360,frc4476,frc1075,frc216,frc886,155,16
2014onto_qm6,frc1075,frc3173,frc2609,frc5036,frc5051,frc4718,111,47
2014onto_qm60,frc4783,frc4248,frc4718,frc1114,frc4825,frc746,16,220
2014onto_qm61,frc854,frc5051,frc1503,frc1219,frc3550,frc3986,70,18
2014onto_qm62,frc2994,frc3161,frc4618,frc4252,frc907,frc3386,22,87
2014onto_qm63,frc1241,frc1404,frc2198,frc5036,frc3985,frc3173,116,110
2014onto_qm64,frc919,frc781,frc4627,frc1547,frc3387,frc1246,140,66
2014onto_qm65,frc3988,frc3550,frc1285,frc3986,frc4248,frc3360,226,71
2014onto_qm66,frc2994,frc4476,frc1503,frc1114,frc1325,frc3161,120,210
2014onto_qm67,frc3710,frc4252,frc2601,frc4727,frc4783,frc3173,118,11
2014onto_qm68,frc216,frc2609,frc5051,frc2198,frc3387,frc4618,111,59
2014onto_qm69,frc4825,frc1219,frc3683,frc4627,frc5031,frc1241,180,44
2014onto_qm7,frc2013,frc5031,frc4825,frc919,frc1285,frc2994,101,86
2014onto_qm70,frc4718,frc1075,frc3985,frc288,frc1246,frc781,77,76
2014onto_qm71,frc1547,frc3386,frc1404,frc244,frc2013,frc886,17,106
2014onto_qm72,frc746,frc907,frc5158,frc919,frc5036,frc854,47,31
2014onto_qm73,frc1285,frc4627,frc3387,frc4783,frc2198,frc1503,46,145
