2003pa_qm43,frc563,frc304,frc522,frc103,17,30
2003pa_qm44,frc1143,frc87,frc230,frc484,53,39
2003pa_qm45,frc56,frc1218,frc272,frc96,78,37
2003pa_qm46,frc321,frc341,frc618,frc422,39,34
2003pa_qm47,frc122,frc383,frc433,frc651,12,63
2003pa_qm48,frc709,frc1143,frc145,frc528,32,6
2003pa_qm49,frc561,frc365,frc444,frc304,12,52
2003pa_qm5,frc433,frc1143,frc87,frc222,28,119
2003pa_qm50,frc834,frc125,frc87,frc381,72,4
2003pa_qm51,frc522,frc316,frc104,frc398,20,73
2003pa_qm52,frc230,frc102,frc1113,frc816,62,70
2003pa_qm53,frc224,frc486,frc357,frc694,89,73
2003pa_qm54,frc487,frc708,frc300,frc103,35,61
2003pa_qm55,frc222,frc563,frc204,frc484,81,89
2003pa_qm56,frc96,frc56,frc422,frc321,86,36
2003pa_qm57,frc1113,frc1218,frc651,frc122,107,8
2003pa_qm58,frc528,frc341,frc304,frc272,42,46
2003pa_qm59,frc300,frc709,frc383,frc381,28,65
2003pa_qm6,frc444,frc487,frc104,frc708,8,61
2003pa_qm60,frc204,frc561,frc708,frc618,32,16
2003pa_qm61,frc398,frc834,frc222,frc357,37,63
2003pa_qm62,frc1143,frc563,frc522,frc816,6,114
2003pa_qm63,frc433,frc365,frc230,frc145,81,16
2003pa_qm64,frc125,frc694,frc316,frc444,45,35
2003pa_qm65,frc224,frc102,frc103,frc87,16,76
2003pa_qm66,frc487,frc104,frc486,frc484,80,32
2003pa_qm67,frc321,frc96,frc122,frc230,32,33
2003pa_qm68,frc1113,frc272,frc56,frc528,61,24
2003pa_qm69,frc381,frc1218,frc316,frc618,32,58
2003pa_qm7,frc522,frc230,frc272,frc398,62,10
2003pa_qm70,frc300,frc422,frc357,frc341,65,17
2003pa_qm71,frc204,frc104,frc816,frc102,31,47
2003pa_qm72,frc651,frc487,frc709,frc398,55,30
2003pa_qm73,frc1143,frc561,frc103,frc304,24,78
2003pa_qm74,frc486,frc145,frc433,frc834,13,76
2003pa_qm75,frc383,frc444,frc563,frc708,115,73
2003pa_qm76,frc125,frc365,frc87,frc222,64,27
2003pa_qm77,frc522,frc224,frc694,frc484,95,45
2003pa_qm78,frc230,frc321,frc528,frc1113,41,30
2003pa_qm79,frc618,frc433,frc96,frc381,76,68
2003pa_qm8,frc422,frc383,frc618,frc304,12,95
2003pa_qm80,frc341,frc563,frc272,frc300,45,57
2003pa_qm81,frc102,frc87,frc122,frc398,32,45
2003pa_qm82,frc1218,frc522,frc204,frc694,60,11
2003pa_qm83,frc56,frc304,frc651,frc365,45,97
2003pa_qm84,frc422,frc316,frc224,frc1143,40,43
2003pa_qm85,frc834,frc104,frc486,frc487,33,95
2003pa_qm86,frc357,frc708,frc561,frc816,43,42
2003pa_qm87,frc383,frc709,frc145,frc222,57,31
2003pa_qm88,frc125,frc103,frc444,frc484,66,43
2003pa_qm89,frc1113,frc230,frc381,frc618,72,15
2003pa_qm9,frc224,frc365,frc204,frc122,76,64
2003pa_qm90,frc486,frc300,frc321,frc341,65,30
2003pa_qm91,frc398,frc433,frc561,frc694,41,22
2003pa_qm92,frc102,frc145,frc528,frc365,10,101
2003pa_qm93,frc563,frc444,frc125,frc1218,12,65
2003pa_qm94,frc1143,frc709,frc56,frc96,41,82
2003pa_qm95,frc87,frc103,frc272,frc422,62,33
2003pa_qm96,frc522,frc487,frc122,frc304,68,78
2003pa_qm97,frc834,frc816,frc316,frc204,58,98
2003pa_qm98,frc357,frc104,frc222,frc651,13,72
2003pa_qm99,frc383,frc224,frc708,frc484,80,59
2003pa_sf1m1,frc433,frc618,frc204,frc486,49,49
2003pa_sf1m2,frc433,frc618,frc486,frc1218,16,34
2003pa_sf2m1,frc87,frc222,frc1113,frc694,76,47
2003pa_sf2m2,frc87,frc222,frc1113,frc694,94,27
