frc0,,,,,
frc111,WildStang,"Magnetic Inspection Laboratory / Township High School District 214 / Just Manufacturing / Motorola Solutions Foundation / Methode Electronics / Numerical Precision, Inc. / Lendrix / Nu-Way Industries & Rolling Meadows High School & Wheeling High School & Prospect High School","Schaumburg, IL, USA",http://www.wildstang.org,
frc112,,,"Arlington Heights, IL, USA",,
frc114,Eagle Strike,Google/Qualcomm/Western Digital/Intuitive Surgical/CK Tool/Applied Welding Technology/Advanced Component Technology/Glbert Spray Coat & Los Altos High School,"Los Altos, CA, USA",http://lahsrobotics.org/portal,
frc115,MVRT,Qualcomm / Western Digital / BAE Systems / De Anza College Machine Shop / Pinnacle Manufacturing / Intel / VMware / Teco Pneumatic / EMC2 / IBM / Platt Electric Supply / Brin-Wojcicki Foundation / Google / Lockheed Martin / Fremont Union High School Foundation / Symantec Corporation / Intuitive Surgical & Monta Vista High School,"Cupertino, CA, USA",http://www.mvrt.com,
frc116,Epsilon Delta,NASA Headquarters & Herndon High School,"Herndon, VA, USA",http://www.team116.org,
frc117,The Steel Dragons,KuzElectric Inc. / Robomatter Inc. / LeWay Athletics / Digital Magic / Comcast / The Heinz Endowments & Taylor Allderdice High School,"Pittsburgh, PA, USA",http://www.steeldragons117.com,
frc118,Robonauts,NASA-JSC & Clear Creek ISD,"League City, TX, USA",http://www.robonauts.org,
frc120,Cleveland's Team,NASA Glenn Research Center/Cuyahoga Community College/GrafTech Corporation/Rockwell Automation & Cleveland Metropolitan School District,"Cleveland, OH, USA",,
frc121,Rhode Warriors,NDEP / Raytheon / Town of Middletown / Blowfish / Ferreira-Fenton Fund & Middletown High School & Portsmouth High School,"Newport County, RI, USA",http://www.rhodewarrior.org,
frc122,NASA Knights,NASA Langley Research Center/CACI Corporate Business Development/Booz Allen Hamilton/BAE Systems Norfolk Ship Repair/Canon Virginia Inc./Jefferson Lab/Planet Fitness of FLA/Thomas Nelson Community College & New Horizons Regional Education Center High School,"Hampton, VA, USA",http://www.team122.org,
frc123,Team - Cosmos,GM Detroit Hamtramck Assembly / General Motors Foundation / Southfield Machining Inc. / Ford Foundation / DADARA & Hamtramck High School,"Hamtramck, MI, USA",http://i-m.co/teamcosmos/teamwebsite,
frc124,,,"Waterford, CT, USA",,
frc125,NUTRONS,Textron Systems/National Grid/Northeastern University & Brookline High School & Boston Latin School & Revere High School,"Boston, MA, USA",http://www.nutrons.com,
frc126,Gael Force,Nypro Inc. & Clinton High School,"Clinton, MA, USA",http://team126.org,
frc127,,,,,
frc128,The Botcats,American Electric Power/Grandview Heights Marble Cliff Education Foundation & Grandview Heights High School,"Grandview Heights, OH, USA",http://www.GrandviewFIRST.com,
frc130,,,,,
frc131,C.H.A.O.S.,BAE SYSTEMS / Rockwell Automation / New Hampshire Orthopaedic Center / GlobaFone / PTC & Central High School,"Manchester, NH, USA",http://www.chaos131.com,
frc132,,,"Wilton Manors, FL, USA",,
frc133,B.E.R.T,Texas Instruments / Lockheed Martin / Fairchild Semiconductor / Robotics Institute of Maine / TEM Inc. & Bonny Eagle High School,"Standish, ME, USA",http://www.bert133.org,
frc134,Team Discovery,AG New England/BAE Systems/Metal Casting Technology/New Hampshire Technical Institute & Pembroke Academy,"Pembroke, NH, USA",http://www.134team.org,
frc135,The Black Knights,PHM Educational Foundation / AEP-American Electric Power / Bayer & Penn High School,"Mishawaka, IN, USA",http://robotics.phmschools.org,
frc136,Killer Kardinals,Plainfield High,"Plainfield, NJ, USA",http://wwwkkteam136.webstarts.com,
frc138,Entropy,Monarch Instrument/BAE Systems/Control Air/LCF Amps & Souhegan High School,"Amherst, NH, USA",http://www.robotics138.org,
frc140,Tigers,Brooks Automation/Raytheon & Tyngsborough High School,"Tyngsboro, MA, USA",http://www.surko.net/first,
frc141,WO-BOT,"JR Automation Technologies, Inc./Engineered Automation Systems, Inc./Magna Sealing and Glass Systems/Johnson Controls/Bradford Company/Holland Board of Public Works/Suntec Services/Koop & Burr Insurance/Buhler Prince & West Ottawa High School","Holland, MI, USA",http://team141.net,
frc144,The R.O.C.K,Alliance Robotics / P&G / The Kroger Company / Clippard Instruments / Cincinnati State Technical and Community College / Craftsman Electric / Hillman Fastener & Butler Technology and Career Development Schools & Colerain High School & Northwest High School,"Cincinnati, OH, USA",http://frcteam144.org,
frc145,T-Rx,NASA / Norwich Pharmaceuticals / Giltner's Paint & Floor Coverings / The Balloon Detail & Norwich High School & Sherburne-Earlville High School & Unadilla Valley High School,"Norwich, NY, USA",http://www.trx145.net,
frc146,,,,,
frc147,Deep Thunder,Raytheon - St. Petersburg & Dixie Hollins HS & Boca Ciega HS & St Petersburg HS,"St. Petersburg, FL, USA",http://www.deepthunder.com,
frc148,Robowranglers,Innovation First International / L-3 Mission Integration / Texas Workforce Commission & Greenville High School,"Greenville, TX, USA",http://www.robowranglers148.com,
frc151,Tough Techs,"Comcast/BAE Systems/Olsen Foundation/Sweeney Metal Fabricators, Inc & Nashua Technology Center @ the Nashua High Schools","Nashua, NH, USA",http://www.nashua151.org,
frc153,,,"Bridgewater, NJ, USA",,
frc155,The Technonuts,"United Techologies Pratt & Whitney Division, East Hartford, CT & C.M. McGee Middle School & Berlin High School","Berlin, CT, USA",http://usfirst.berlinwall.org,
frc156,RPM  - Robotics Plus Mayhem,GE/Eriez & Fairview High School,"Fairview, PA, USA",http://www.rpm156.com,
frc157,AZTECHS 157,EMC2/Boston Scientific/Staples/Raytheon/Entwistle & Assabet Valley Regional Technical HS,"Marlborough, MA, USA",http://www.aztechs157.net,
frc158,The Cobras,Solid Edge - UGS & Great Oaks,"Milford, OH, USA",http://cobras158.yi.org,
frc159,Alpine Robotics,Nordson/AMD/GST/OtterCares/Wolf Robotics/Advanced Energy/Randy Fischer/DGCD/Exponential Engineering/Ft Collins Plastics/Gulley Greenhouse & Poudre High School,"Fort Collins, CO, USA",http://www.alpinerobotics.com,
frc161,,,,,
frc162,,,,,
frc163,,,,,
frc165,Das Goat,US Naval Academy & Broadneck High School & Severn School High School,"Annapolis, MD, USA",,
frc166,Chop Shop,BAE Systems / Raytheon / Brookstone / Fidelity Investments & Merrimack High School,"Merrimack, NH, USA",http://www.chopshop166.com,
frc167,Children of the Corn,Rockwell Collins & West High School & City High School,"Iowa City, IA, USA",http://www.icrobotics.org,
frc168,Mechanical Investigation Bureau,North Miami Beach Senior High,"North Miami Beach, FL, USA",http://www.nmbrobotics.com,
frc169,,,,,
frc171,Cheese Curd Herd,UW-Platteville/John Deere & Area Schools,"Platteville, WI, USA",http://www.team171.com,
frc172,Northern Force,Lanco Assembly Systems / IDEXX Laboratories / Robotics Institute of Maine / P&G Tambrands Inc. / Casco Systems LLC & Falmouth High School & Gorham High School,"Gorham/Falmouth, ME, USA",http://www.northernforce.org/wordpress,
frc173,R.A.G.E. (Robotics & Gadget Engineering),United Technologies/JP Fabrication/CNC Software/Trumpf & Tolland HS & Rockville HS & E. Hartford HS & Manchester home school & CIBA,"Tolland, CT, USA",http://ragerobotics.com,
frc174,Arctic Warriors,UTC Carrier/SRC/Lockheed Martin/Welch Allyn/Time Warner Cable/TopCoder/National Grid & Liverpool High School,"Liverpool, NY, USA",http://www.snobot.org,
frc175,Buzz Robotics,United Technologies Aerospace  Systems Space Systems/PTC & Enrico Fermi High School,"Enfield, CT, USA",http://buzzrobotics.org,
frc176,Aces High,UTC Aerospace Systems/Praxair & Windsor Locks High School & Suffield High School,"Windsor Locks, CT, USA",http://www.aceshigh176.org,
frc177,Bobcat Robotics,United Technologies / ClearEdge Power / Gain Talent / EBA&D & South Windsor High School,"South Windsor, CT, USA",http://www.bobcatrobotics.org,
frc178,The 2nd Law Enforcers,UTC Otis Elevator/ebm-papst Inc./UTC Sikorsky/Parker Hanifin Corp. Fluid Control Div./Barnes Group Inc. & Farmington High School,"Farmington, CT, USA",http://www.farmingtonrobotics.org,
frc179,The Children of the Swamp,UTC/EDF/Lockheed Martin/FP&L/Florida Turbine Technologies & Suncoast High School,"Riviera Beach, FL, USA",http://www.179swampthing.org,
frc180,S.P.A.M.,Pratt & Whitney/Florida Power & Light/Aerojet Rocketdyne/Education Foundation of Martin County & Jensen Beach High School & Martin County High School & South Fork High School & Clark Advanced Learning Center (High School),"Stuart, FL, USA",http://www.spamrobotics.com,
frc181,Birds Of Prey,United Technologies / Pratt & Whitney / Stanley Black & Decker & Hartford Public Schools,"Hartford, CT, USA",http://www.bop181.org,
frc182,ThunderQuest,Edsel Ford High School,"Dearborn, MI, USA",,
frc184,F.R.E.D.,Ford Motor Company / Fordson High School Alumni Association & Fordson High School & Dearborn Public Schools Education Foundation,"Dearborn, MI, USA",http://www.geocities.com/fordson184,
frc186,The Alliance,Walt Disney World Design and Engineering & Gateway High School,"Lake Buena Vista, FL, USA",http://www.ghs.osceola.k12.fl.us/FIRST/186Home.htm,
frc188,Blizzard,Scotiabank/Bell Canada/Toronto District School Board & Woburn Collegiate Institute,"Toronto, ON, Canada",http://www.team188.com,
frc190,Gompei and the H.E.R.D.,WPI & Massachusetts Academy of Math and Science,"Worcester, MA, USA",http://users.wpi.edu/~first,
frc191,X-CATS,Xerox Corporation & Joseph C. Wilson Magnet High School,"Rochester, NY, USA",http://www.x-cats.org,
